,noise_scale_00,noise_scale_01,noise_scale_02,noise_scale_03,noise_scale_04,noise_scale_05,noise_scale_06,noise_scale_07,noise_scale_08,noise_scale_09
0,-0.3048106211022167,-0.34269193767356243,-0.36998308010238845,-0.4171794703762061,-0.43180771101878535,0.9578785348497482,-0.2626039970401125,-0.27313034629367333,-1.571629288004079,0.577510870180663
1,-0.354238332807779,-0.3416492392867802,-0.1059880009321697,-0.4104635694789717,-0.09410754409773608,-0.22058726062095133,-0.5092003382498711,-1.1895186154077104,1.3066268777516734,0.1454300227393368
2,-0.4026951018659197,-0.2850747813184077,-0.10800012272799037,-0.497978149873064,-0.5349664803773111,-0.6068734364333993,-0.3738284991885332,-0.08488216411980676,0.8723438977802234,-0.15985835108370494
3,-0.45004811164083935,-0.5702434469603174,-0.7128769455533348,-0.3174965081783935,-0.29106310345976893,0.09685826289552857,-0.8800134583444126,-0.7143049816989775,-1.1284873882525104,-1.2197549000935777
4,-0.49616757082421203,-0.34144800666085173,-0.4312300969624894,-0.7282353837636513,-0.3383361386055582,-0.05863814161881575,-0.3589495305170608,0.12162027071015069,0.1087901805555832,-0.3729670917697223
5,-0.5409270691841406,-0.666168069661268,-0.49868929625767333,-0.48799025609379415,-0.629693175673568,-0.6548282551389574,-0.760260649351077,-0.5107129710324309,-2.8646100588644257,-1.8443164681181434
6,-0.584203924046815,-0.46764850145642356,-0.37527775215472176,-0.5528162164631617,-1.2776540660801485,-1.4526313724645106,-0.53691178103955,-0.738574508059642,0.19982458573594974,-1.172376549654599
7,-0.6258795165611938,-0.7269806689961668,-1.0398512349848792,-0.5799465492337518,-0.8056944493835028,-0.3077652886317739,-0.3782514251735738,-0.20627609540936842,-1.6753394889634077,0.1414978734335951
8,-0.6658396168250302,-0.6412560150041259,-0.9125815876316837,-0.41152545184831835,-0.8986830566011811,-1.2185364646424408,-0.7979200816168096,-0.9758837112547571,-0.3857646237256628,0.12265151484746484
9,-0.7039746969810936,-0.6921877208043155,-0.6800501665224902,-0.7822154115634299,-0.7535413223047095,-0.9425570833439393,-1.1774603787028766,-1.1727072183755631,-1.8943963014110792,-0.7115057084760101
10,-0.7401802314254129,-0.7678130349918882,-0.8505391900635308,-0.5614430472063069,-0.9873028906577372,-0.43313565446913993,0.22408315611943375,-0.9640396205450775,-1.5181417278709723,-0.49624592921890576
11,-0.7743569833046922,-0.821716125099625,-0.632685583066962,-0.7865284145308424,-0.5016581605806556,0.041868377444666316,-0.6733136190789927,-1.911162464495332,-1.7616966108817325,1.1274106464783344
12,-0.8064112765176272,-0.7104932133699104,-0.531032499008751,-0.6844403285769944,-1.0975212866186357,-0.9484262544580714,0.11901441593365403,-1.109139356579286,-2.0932183544683522,-0.7503144340204434
13,-0.8362552524745842,-0.7616998580849463,-0.8860650753099762,-1.0115250230353001,-0.6398116606766173,-0.6702735046816597,-0.7932803693261218,-0.9290399019507813,-1.9941234622129107,-0.44123395694041295
14,-0.8638071109119023,-0.8586895641373528,-1.0689447422222016,-0.6383126724849406,-0.20851052500888667,-1.244807995338261,-1.217021869209253,0.14794334087709404,0.4341800850214699,-1.0990105799891243
