,bm_sigma_090,bm_sigma_091,bm_sigma_092,bm_sigma_093,bm_sigma_094,bm_sigma_095,bm_sigma_096,bm_sigma_097,bm_sigma_098,bm_sigma_099
0,-1.047041815459749,1.0144736079199193,-0.10080179169617796,0.6734964721202804,-1.286583802640242,-0.47324025803106934,1.1507713271834135,-0.0022810120806128066,1.0429234323831957,-0.15589694685856853
1,-1.3455514780138778,1.7503390744693443,1.8791031472548676,1.7061402782002868,-0.7959491289738596,-1.8235583816609857,0.9859137465576956,1.1955857114541313,0.6449069131209255,0.6431986772938263
2,0.6330287424892829,2.331054674545136,3.0128248359503154,1.5877834708513494,-2.7704285982487633,-1.9992955960747638,0.7702886321166513,1.212951468689867,2.474904120110013,0.7549968001459799
3,1.3728381683067787,1.027023932914794,3.7470075177883224,-0.4692624359255664,-4.416396425752456,-2.386864460757225,0.749474521978175,0.2720445887582146,2.7262603608481775,0.319464863646506
4,-0.5472262898670313,0.9148988619914117,3.412482960592644,-2.1646499926181804,-4.282951816288378,-1.7821766447492662,0.9158657261944382,-0.25073487129386474,3.050640113873191,0.24548952236940436
5,0.4701894127499977,0.4383229894755809,3.404964798490831,-2.4408516323849065,-5.241330864658231,-1.4750071166869743,-1.5359412127670953,0.5887118560370084,3.0090614592164657,0.411280633711808
6,-0.18332412211454513,-0.14579590173053364,4.4817248704521235,-2.828232414490087,-4.739241430172192,-1.8163139092684226,-1.9769550234424118,0.8722931065326571,2.5701962386101402,1.1646836391586108
7,0.9605489372405029,-1.0449840371118324,4.028838638435833,-2.825055645340211,-4.177001979246637,-2.1406719485267613,-1.6669092034602553,0.1438342857867192,1.5377180513785962,2.769783594395116
8,0.04068029153097996,-0.8862722524745075,3.3112568836240968,-2.345018481291973,-5.248760391096533,-1.7113551869156254,-1.3725679365289154,0.7094501431045389,1.0724354222755372,2.383912150986571
9,1.3206220555242916,0.22810587071126287,4.466554769019546,-2.3022944103296212,-5.052600513982825,-1.0485803130822502,-3.213878476964666,1.3557911007064658,1.1743995619734553,3.3637175896701508
10,0.37109266546773645,-0.9823667446479485,4.16949317606449,-2.416494229382948,-4.1039523961297295,-2.234587921433017,-2.330320082517888,0.6684628917232441,0.6959345693014554,1.8675608565675943
11,1.9820763789359848,-1.9708022787428314,2.615923100621373,-4.021159133922903,-2.935384304663255,-2.065541735499727,-3.0016990383311555,-0.8115054151348097,2.565554210462693,1.9276486422752959
12,2.3007349075930583,-0.9899030274220406,2.111284618876115,-2.418536695625155,-4.5347884059369905,-1.222332812554824,-2.9793970243030774,-1.0332490460660932,2.4380688487318114,2.7577112845413025
13,2.304383625005212,-0.7887644862059336,0.9862902295005952,-0.9463895900474939,-5.160603284307486,-0.7037640594847325,-3.8316380009160076,-0.43315961296210503,1.6724682832956388,4.12934922866544
14,4.813684361945198,-0.5037272075023751,0.28638092498818024,0.21324406817229036,-4.57091961826,0.004333249890421054,-2.7832946109312173,0.04457411790140209,0.5213538428317035,4.89304337374723
