,shift_10,shift_20,shift_30,shift_40,shift_50,shift_60,shift_70,shift_80,shift_90
0,-0.5440211108893698,0.9129452507276277,-0.9880316240928618,0.7451131604793488,-0.26237485370392877,-0.3048106211022167,0.7738906815578891,-0.9938886539233752,0.8939966636005579
1,-0.7766821844942601,0.9655434787776751,-0.9664954164630695,0.6904888680508208,-0.20126639860681728,-0.354238332807779,0.8015251837414528,-0.9974561846457158,0.8778145212994939
2,-0.9333161944178717,0.9943668219251292,-0.9343700827983392,0.6316074821399058,-0.13936363698428272,-0.4026951018659197,0.8275455208740401,-0.9994857102283995,0.8605628972211946
3,-0.9985907124355626,0.998705553802508,-0.89200759497696,0.5688320260708029,-0.07691087075575365,-0.45004811164083935,0.851899291459521,-0.9999741012900804,0.8422628098121766
4,-0.9661162139294516,0.9784528404315653,-0.8398720852804253,0.5025495314051243,-0.014154572457593202,-0.49616757082421203,0.8745374502450003,-0.9989206047671407,0.822936554910042
5,-0.8390715290764524,0.9341073708303954,-0.7785347612630237,0.4331686517636619,0.048657587471455405,-0.5409270691841406,0.8954144069914359,-0.9963268450748589,0.8026076785794164
6,-0.6298926768023455,0.8667610776347565,-0.7086676474823516,0.36111714334087663,0.1112777181322843,-0.584203924046815,0.9144881182862875,-0.9921968216026826,0.7813009484246687
7,-0.35905554060248324,0.7780722500926552,-0.6310362226576236,0.28683922764576564,0.17345868647760576,-0.6258795165611938,0.931720172213394,-0.9865369025474554,0.7590423234144503
8,-0.053071546401395955,0.6702247014795224,-0.5464910329246394,0.21079285272848944,0.23495509263312903,-0.6658396168250302,0.9470758657094331,-0.9793558150941213,0.7358589222546675
9,0.25810746053266675,0.5458739963677067,-0.4559583730743353,0.13344686977841247,0.2955242383788076,-0.7039746969810936,0.96052427445128,-0.9706646319590376,0.7117789903484856
10,0.5440211108893697,0.4080820618133904,-0.36043013787320194,0.055278142500564384,0.3549270849677869,-0.7401802314254129,0.9720383151334779,-0.9604767543166491,0.686831865383712
11,0.7766821844942601,0.2602417925505166,-0.26095295465667445,-0.02323139290765443,0.41292919650315285,-0.7743569833046922,0.9815948000104121,-0.9488078911358484,0.6610479415893172
12,0.9333161944178717,0.1059935066620539,-0.15861671626101195,-0.1015976990533684,0.4693016651493325,-0.8064112765176272,0.9891744835933444,-0.9356760349578842,0.6344586327047148
13,0.9985907124355626,-0.05086469113270926,-0.054542639929311965,-0.17933762159976216,0.5238220145266981,-0.8362552524745842,0.9947621014082583,-0.9211014341531668,0.607096333707033
