,a_0.1,a_0.2,a_0.3,a_0.4,a_0.5,a_0.6,a_0.7,a_0.8,a_0.9
0,0.33844639706518015,0.16567738505645146,0.00308158563475262,0.13715899327042155,0.584579406880659,0.559854060782094,0.5114950601920161,0.13515036456493568,0.2314819859944035
1,1.1146805720495636,0.16576764787440754,0.1438105880757914,0.7353280329229014,0.6408871806647504,0.600356120504459,1.1691790385829552,0.7376213669642074,0.5483084793334909
2,1.1146811122725286,0.23519817749749228,0.655000276292153,1.4612209875321618,1.3611451465341966,0.8000931120135379,2.0836482618778045,1.0527557636587896,0.7120948083755696
3,1.1147138851825498,0.2889327907513674,0.6550225664061934,1.4710864570569888,2.113323894585638,1.5424582763047554,2.310364861367977,1.7808967077611304,1.5966117771501822
4,1.9331839825604114,0.2960994231128613,0.6670896411279407,1.473403855207408,2.40891131397051,1.565658611333487,3.166091306153392,2.2881297930716773,2.583690648830725
5,1.9331889020429303,0.3121915425990245,1.2439172075131166,1.6031078789424211,2.609829450289886,1.56616814417904,3.6831599379687683,2.8427378351135513,2.6785708212879684
6,2.494179293490331,0.39320234796538867,1.4020680020099934,1.7111473290518031,2.9929643801888663,1.681063389423352,4.184255834013509,2.8455905497817513,3.083141345640903
7,2.502513173071169,0.39320237623814774,1.402197259642896,1.8417725003899932,3.1102550922684307,2.46770738727461,4.248715814128382,3.536361997721503,3.2503266678402007
8,2.502515980104058,0.39346546688314127,1.402270665523095,2.4015873458703294,3.1106932442054376,2.669223083316785,4.284388292939836,3.546139388656869,4.185848844880549
9,2.50277207837535,1.1372610424480223,1.7509364636469988,2.6277715358883995,3.56172395171716,3.0563996839901737,5.182643029951983,3.860253354398922,5.103349042824038
10,2.50277207837535,1.1386331216302301,1.7525656383100552,2.6282520913729974,4.203708080639621,3.05652714337413,5.464290050691284,4.82614909381662,5.433565075079666
11,2.5027721272649677,1.3970407252994141,2.665042737413818,2.7211934005105247,4.573785729889641,3.067218332212153,6.28786480680271,5.368687126155684,6.097545744291507
12,2.512450987155228,1.3979522456480995,2.8003624134028318,2.8249374153638467,4.573798071936607,3.6008152000620894,6.502987071305042,6.0729617432398495,7.0367596912102295
13,2.992045539184159,1.704014796238761,2.8577747654188026,2.939853250271418,4.983859965036281,3.661037985690626,7.211630457025393,6.078298820610662,7.7911184171199945
14,2.9936740808402966,1.7040161499780806,3.143090864760711,3.28990669226445,5.146312012540771,3.951225822108345,7.5094910557870005,6.250768959245153,8.10118080113736
15,3.088581722962126,1.8396759695129745,3.8950511856498533,4.231503464726862,5.196066277173987,4.392712415683836,7.899468521268189,6.350965855713881,8.705193043625437
16,4.06036646960106,1.839722477158907,4.102368506827355,4.301918647820561,5.268903062951848,5.250009483533101,8.819848816541823,6.960288712637598,9.548713226992618
17,4.461458135795778,1.8811954866301355,4.132315868161983,4.335181280350583,6.047461706072522,5.422265876373429,8.868845888469707,7.190935963480224,10.135156672873816
18,4.4769539066961155,1.881572182577635,4.139744544292698,5.279408197194169,6.523829753218161,5.422787703312984,9.101890409951778,8.040562741167891,10.444368956236296
19,4.480105694882303,1.881615807375805,4.142904885301797,5.382335542965873,6.676123069867973,6.054862943396379,10.032397181701413,8.862637644850704,11.211661889462958
20,4.48010584488977,1.881759137202684,4.14810002324932,5.685357776736577,6.757082666557985,6.063315492162354,10.730773102628481,8.899439702165605,12.15015845652713
21,4.480105844892906,1.9203274323433799,4.148886369301423,5.694575579283744,7.00167515887374,6.0864478327314355,11.15030657646098,9.456621347700402,12.249991768489135
22,4.4806000491297295,2.490464355871298,4.155848075512247,6.592775077640566,7.772213700368806,6.103435071560241,11.459671348361399,9.734025780192916,12.43749336548238
23,4.48824503999228,2.531744653978618,4.326471081432227,6.619835216489438,7.775116963874615,7.05635033529254,11.541339637643471,10.008090156587004,13.00577225377354
24,4.48824503999228,2.5380776146842683,4.403635599947233,7.332091995359264,8.036423193371341,7.209719513651243,12.054450729210638,10.129700784214064,13.811121688187237
25,4.584666455847605,2.559680006694163,5.229045648185453,7.3615127375821965,8.87805262932316,7.418461354829233,12.958281036224804,10.34490302450769,14.115417357491118
26,4.585896032855266,2.716413636376617,5.549209277133684,7.598735345006801,9.101988597526754,7.4606859400045265,13.211848396319173,10.7450306089816,14.139223635057856
